MaterialTypeName,TitleID,FullTitle,ItemURL,HoldingInstitution,NumPages
Cartographic material,123356,Forest atlas of the national forests of the United States : Pocatello folio,https://www.biodiversitylibrary.org/item/215408,"U.S. Department of Agriculture, National Agricultural Library",34
Language material,2260,Naumannia : Archiv für die Ornithologie Vorzugsweise Europa's  : Organ der Deutsche Ornithologen-Gesellschaft,https://www.biodiversitylibrary.org/item/19690,"Natural History Museum Library, London",408
Language material,2260,Naumannia : Archiv für die Ornithologie Vorzugsweise Europa's  : Organ der Deutsche Ornithologen-Gesellschaft,https://www.biodiversitylibrary.org/item/19761,"Natural History Museum Library, London",350
Language material,2260,Naumannia : Archiv für die Ornithologie Vorzugsweise Europa's  : Organ der Deutsche Ornithologen-Gesellschaft,https://www.biodiversitylibrary.org/item/19868,"Natural History Museum Library, London",492
Language material,2260,Naumannia : Archiv für die Ornithologie Vorzugsweise Europa's  : Organ der Deutsche Ornithologen-Gesellschaft,https://www.biodiversitylibrary.org/item/19830,"Natural History Museum Library, London",436
Language material,2260,Naumannia : Archiv für die Ornithologie Vorzugsweise Europa's  : Organ der Deutsche Ornithologen-Gesellschaft,https://www.biodiversitylibrary.org/item/19887,"Natural History Museum Library, London",548
Language material,2260,Naumannia : Archiv für die Ornithologie Vorzugsweise Europa's  : Organ der Deutsche Ornithologen-Gesellschaft,https://www.biodiversitylibrary.org/item/49215,"Natural History Museum Library, London",576
Language material,2260,Naumannia : Archiv für die Ornithologie Vorzugsweise Europa's  : Organ der Deutsche Ornithologen-Gesellschaft,https://www.biodiversitylibrary.org/item/19902,"Natural History Museum Library, London",528
Language material,2260,Naumannia : Archiv für die Ornithologie Vorzugsweise Europa's  : Organ der Deutsche Ornithologen-Gesellschaft,https://www.biodiversitylibrary.org/item/49217,"Natural History Museum Library, London",536
Language material,3737,"Monography of the family Unionidæ, or, Naiades of Lamarck (fresh water bivalve shells) of North America ...",https://www.biodiversitylibrary.org/item/17643,MBLWHOI Library,232
Language material,3737,"Monography of the family Unionidæ, or, Naiades of Lamarck (fresh water bivalve shells) of North America ...",https://www.biodiversitylibrary.org/item/42903,Smithsonian Libraries,398
Language material,3737,"Monography of the family Unionidæ, or, Naiades of Lamarck (fresh water bivalve shells) of North America ...",https://www.biodiversitylibrary.org/item/24982,"University Library, University of Illinois Urbana Champaign",248
Language material,5386,[Herbarium indexes for all the groups of cryptogams],https://www.biodiversitylibrary.org/item/25375,"New York Botanical Garden, LuEsther T. Mertz Library",64
Language material,6650,Flora Vectiana; being an arrangement of the more rare and interesting plants indigenous to the Isle of Wight,https://www.biodiversitylibrary.org/item/29437,"New York Botanical Garden, LuEsther T. Mertz Library",52
Language material,9538,Descriptionum et iconum rariores et pro maxima parte novas plantas illustrantium,https://www.biodiversitylibrary.org/item/38660,"Missouri Botanical Garden, Peter H. Raven Library",100
Language material,10774,La fauna dei calcari con Fusulina della valle del fiume Sosio nella provincia de Palermo,https://www.biodiversitylibrary.org/item/41988,Smithsonian Libraries,132
Language material,12201,Recherches pour servir à l'histoire des lombriciens terrestres,https://www.biodiversitylibrary.org/item/45095,Smithsonian Libraries,210
Language material,15363,"Records of big game containing an account of their distribution, descriptions of species, lengths, and weights, measurements of horns and field notes",https://www.biodiversitylibrary.org/item/52451,Smithsonian Libraries,360
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/84394,NCSU Libraries (archive.org),924
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/55520,NCSU Libraries (archive.org),984
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/85156,NCSU Libraries (archive.org),966
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/85034,NCSU Libraries (archive.org),984
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/55617,NCSU Libraries (archive.org),984
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/85036,NCSU Libraries (archive.org),984
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/85037,NCSU Libraries (archive.org),984
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/85038,NCSU Libraries (archive.org),990
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/55613,NCSU Libraries (archive.org),984
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/55615,NCSU Libraries (archive.org),978
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/55582,NCSU Libraries (archive.org),984
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/55609,NCSU Libraries (archive.org),984
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/227879,"U.S. Department of Agriculture, National Agricultural Library",990
Language material,16518,"Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement",https://www.biodiversitylibrary.org/item/227880,"U.S. Department of Agriculture, National Agricultural Library",990
Language material,16858,"The Codman Collection of books on landscape gardening : also, a List of books on trees and forestry",https://www.biodiversitylibrary.org/item/55982,Boston Public Library (archive.org),128
Language material,16858,"The Codman Collection of books on landscape gardening : also, a List of books on trees and forestry",https://www.biodiversitylibrary.org/item/56250,Boston Public Library (archive.org),188
Language material,16858,"The Codman Collection of books on landscape gardening : also, a List of books on trees and forestry",https://www.biodiversitylibrary.org/item/97451,Boston Public Library (archive.org),104
Language material,18653,Camp-fires of a naturalist : the story of fourteen expeditions after North American mammals : from the field notes of Lewis Lindsay Dyche,https://www.biodiversitylibrary.org/item/58297,University of California Libraries (archive.org),358
Language material,18653,Camp-fires of a naturalist : the story of fourteen expeditions after North American mammals : from the field notes of Lewis Lindsay Dyche,https://www.biodiversitylibrary.org/item/72614,University of California Libraries (archive.org),358
Language material,20414,"Luther Burbank: his methods and discoveries and their practical application.  Prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement, with the assistance of the Luther Burbank Society and its entire membership, under the editorial direction of John Whitson and Robert John and Henry Smith Williams",https://www.biodiversitylibrary.org/item/60358,University of Toronto - Gerstein Science Information Centre,326
Language material,20414,"Luther Burbank: his methods and discoveries and their practical application.  Prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement, with the assistance of the Luther Burbank Society and its entire membership, under the editorial direction of John Whitson and Robert John and Henry Smith Williams",https://www.biodiversitylibrary.org/item/60656,University of Toronto - Gerstein Science Information Centre,324
Language material,20414,"Luther Burbank: his methods and discoveries and their practical application.  Prepared from his original field notes covering more than 100,000 experiments made during forty years devoted to plant improvement, with the assistance of the Luther Burbank Society and its entire membership, under the editorial direction of John Whitson and Robert John and Henry Smith Williams",https://www.biodiversitylibrary.org/item/60432,University of Toronto - Gerstein Science Information Centre,326
Language material,28352,Pamphlets on vegetable gardening,https://www.biodiversitylibrary.org/item/71066,UMass Amherst Libraries (archive.org),268
Language material,37784,Useful and ornamental planting : with an index,https://www.biodiversitylibrary.org/item/84434,NCSU Libraries (archive.org),164
Language material,38366,"Camp-fires of a naturalist the story of fourteen expeditions after North American mammals, from the field notes of Lewis Lindsay Dyche, A.M., M.S., professor of zoology and curator of birds and mammals in the Kansas State University",https://www.biodiversitylibrary.org/item/85630,Canadiana.org (archive.org),351
Language material,38602,"Canada at the Great International Fisheries Exhibition, London, 1883 letters from eminent men in England on the standing and management of the Canadian branch of the Great International Fisheries Exhibition, 1883 : also, extracts from papers read and discussions had referring to Canada at the fishery conferences held in London during the great exhibition called on the authority of His Royal Highness, the Prince of Wales",https://www.biodiversitylibrary.org/item/85913,Canadiana.org (archive.org),83
Language material,41952,Terrain jurassique de Moscou,https://www.biodiversitylibrary.org/item/106410,American Museum of Natural History Library,552
Language material,44436,"Camp-fires of a naturalist; the story of fourteen expeditions after North American mammals, from the field notes of Lewis Lindsay Dyche, A. M., M. S., professor of zoölogy and curator of birds and mammals in the Kansas state university",https://www.biodiversitylibrary.org/item/96451,University of British Columbia Library (archive.org),348
Language material,45813,Field notes on apple culture,https://www.biodiversitylibrary.org/item/99123,NCSU Libraries (archive.org),112
Language material,45813,Field notes on apple culture,https://www.biodiversitylibrary.org/item/117816,Cornell University Library,110
Language material,47422,Results of experiments with models of high speed targets including estimates of full-scale target drag and cable tension,https://www.biodiversitylibrary.org/item/102038,MBLWHOI Library,108
Language material,50831,"Preliminary endangerment assessment : effect of metals contamination at Old Works Operable Unit on aquatic biota of Warm Springs Creek, Montana",https://www.biodiversitylibrary.org/item/107851,Montana State Library (archive.org),72
Language material,55663,"Field notes on amphibians, reptiles and birds of northern Humboldt County, Nevada, with a discussion of some of the faunal features of the region",https://www.biodiversitylibrary.org/item/116359,Cornell University Library,142
Language material,62015,"The natural history of Carolina, Florida and the Bahama Islands : containing the figures of birds, beasts, fishes, serpents, insects, and plants : particularly, the forest-trees, shrubs, and other plants, not hitherto described, or very incorrectly figured by authors : together with their descriptions in English and French : to which, are added observations on the air, soil, and waters : with remarks upon agriculture, grain, pulse, roots, &c. : to the whole, is prefixed a new and correct map of the countries treated of",https://www.biodiversitylibrary.org/item/126524,Smithsonian Libraries,376
Language material,62015,"The natural history of Carolina, Florida and the Bahama Islands : containing the figures of birds, beasts, fishes, serpents, insects, and plants : particularly, the forest-trees, shrubs, and other plants, not hitherto described, or very incorrectly figured by authors : together with their descriptions in English and French : to which, are added observations on the air, soil, and waters : with remarks upon agriculture, grain, pulse, roots, &c. : to the whole, is prefixed a new and correct map of the countries treated of",https://www.biodiversitylibrary.org/item/132560,Smithsonian Libraries,320
Language material,62015,"The natural history of Carolina, Florida and the Bahama Islands : containing the figures of birds, beasts, fishes, serpents, insects, and plants : particularly, the forest-trees, shrubs, and other plants, not hitherto described, or very incorrectly figured by authors : together with their descriptions in English and French : to which, are added observations on the air, soil, and waters : with remarks upon agriculture, grain, pulse, roots, &c. : to the whole, is prefixed a new and correct map of the countries treated of",https://www.biodiversitylibrary.org/item/126154,Smithsonian Libraries,384
Language material,65152,"Hübner's geometra ",https://www.biodiversitylibrary.org/item/131788,Cornell University Library,244
Language material,65296,"Hübner's papilio ",https://www.biodiversitylibrary.org/item/131977,Cornell University Library,256
Language material,65326,George Henry Falkiner Nuttall and the Nuttall tick catalogue,https://www.biodiversitylibrary.org/item/132009,"U.S. Department of Agriculture, National Agricultural Library",1806
Language material,69699,A catalogue of the Portland Museum,https://www.biodiversitylibrary.org/item/138539,Smithsonian Libraries,228
Language material,86050,"Wholesale catalogue, our wild flowers, and ferns, bulbs, hardy ornamentals, native shrubs, etc",https://www.biodiversitylibrary.org/item/162854,"U.S. Department of Agriculture, National Agricultural Library",38
Language material,87137,1895 price list of aquatics,https://www.biodiversitylibrary.org/item/164375,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,95997,Contract prices,https://www.biodiversitylibrary.org/item/174077,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,97075,"S.L. Watkins : collector, grower, and originator of new varieties of flowering plants, shrubs and fruits",https://www.biodiversitylibrary.org/item/175348,"U.S. Department of Agriculture, National Agricultural Library",14
Language material,99191,Field notes on sweet peas : revised and brought up-to-date (including season 1905),https://www.biodiversitylibrary.org/item/178061,"U.S. Department of Agriculture, National Agricultural Library",52
Language material,99523,Trade price list : July 1906,https://www.biodiversitylibrary.org/item/178483,"U.S. Department of Agriculture, National Agricultural Library",8
Language material,99523,Trade price list : July 1906,https://www.biodiversitylibrary.org/item/178657,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,99844,Wholesale catalogue of Pacific coast tree and shrub seeds : for the season of 190[5/6],https://www.biodiversitylibrary.org/item/178846,"U.S. Department of Agriculture, National Agricultural Library",8
Language material,100421,Trade list,https://www.biodiversitylibrary.org/item/179566,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,104002,Special import prices for the highest grade of bulbs for florists,https://www.biodiversitylibrary.org/item/184579,"U.S. Department of Agriculture, National Agricultural Library",8
Language material,108695,List of peach trees usually carried : to the U. S. Department of Agriculture,https://www.biodiversitylibrary.org/item/190732,"U.S. Department of Agriculture, National Agricultural Library",2
Language material,110004,"[Nursery stock list of the Comanche Nursery] : [a handwritten letter, dated 3/15/1916, to E.R. Lake, horticulturist, U.S. Dept. of Agriculture, Washington, D.C.]",https://www.biodiversitylibrary.org/item/192504,"U.S. Department of Agriculture, National Agricultural Library",3
Language material,110010,List of surplus stock,https://www.biodiversitylibrary.org/item/192522,"U.S. Department of Agriculture, National Agricultural Library",2
Language material,110239,"Surplus list for nurserymen only : Oct. 21, 1915",https://www.biodiversitylibrary.org/item/193423,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,111710,[List of trees for sale : letter dated 11-1916 from S.T. Burns to the U. S. Department of Agriculture with explanation that he was not a regular nurseryman],https://www.biodiversitylibrary.org/item/195305,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,111792,"[Nursery stock mostly for local planting] : correspondence to Mr. E.R. Lake of Washington , D.C",https://www.biodiversitylibrary.org/item/195387,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,111803,"[List of berries and fruit trees for sale : letter dated 3-6-'16 from Moody Brenneman to the U. S. Department of Agriculture, Washington, D.C. regarding his non publication of a fruit catalog]",https://www.biodiversitylibrary.org/item/195398,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,111880,"[List of berries for sale : letter dated April 22nd, 1916 from Frank Brewer to E.R. Lake, the U. S. Department of Agriculture, Washington, D.C. with explanation that he was a casual berry grower]",https://www.biodiversitylibrary.org/item/195475,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,111978,Fancy berries of all kinds in season : [price circular],https://www.biodiversitylibrary.org/item/195585,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,112772,"[Fruit nursery stock : letter dated 6th [March], 1916, to the Department of Agriculture regarding non production of trade catalogs]",https://www.biodiversitylibrary.org/item/196828,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,112780,"[Nursery stock list : a letter, dated 4/24/1916, to the Department of Agriculture]",https://www.biodiversitylibrary.org/item/196836,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,113020,The Williams pecan : 1915-16,https://www.biodiversitylibrary.org/item/197115,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,113290,"J. W. Vinacke, growers of high class strawberry plants, currants, gooseberries, raspberries ... : letter to Mr, E. R. Lake, Washington D.C",https://www.biodiversitylibrary.org/item/197498,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,113294,"Cut flowers, trees, shrubs, vines and hardy perennials [prices : correspondence to customers]",https://www.biodiversitylibrary.org/item/197502,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,113545,"[Letter written to] E. R. Lake, Department of Agriculture, Washington, D.C. [regarding the state of the company]",https://www.biodiversitylibrary.org/item/197795,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,113694,"S.S. Brodbeck owner of the Brodbeck Cherry : dealer and grower of fruits, trees, etc",https://www.biodiversitylibrary.org/item/197983,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,115404,"S.D. Elrod & Son, prop's., growers of fruit and ornamental trees, shrubs, etc. : [letter dated Feb. 22, 1917]",https://www.biodiversitylibrary.org/item/200551,"U.S. Department of Agriculture, National Agricultural Library",10
Language material,120458,"Fruit and ornamentals : correspondence dated Jan. 14, 1920 to Mr. L. C. Corbett, Department of Agriculture, Washington, D.C. regarding the status of the Nursery",https://www.biodiversitylibrary.org/item/210584,"U.S. Department of Agriculture, National Agricultural Library",10
Language material,125023,Ferns and pandanus,https://www.biodiversitylibrary.org/item/217623,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,125891,"[Nursery stock list : letter dated Feb. 9, 1922 in response to one from the Department of Agriculture, Bureau of Plant Industry (Feb. 1, 1922)",https://www.biodiversitylibrary.org/item/218733,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,126748,[New Bremen Nurseries nursery stock],https://www.biodiversitylibrary.org/item/219797,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,132783,"Hardy plants : spring, [1925]",https://www.biodiversitylibrary.org/item/228374,"U.S. Department of Agriculture, National Agricultural Library",54
Language material,133002,"G.H. Wilson Seed Co., Downs, Kansas",https://www.biodiversitylibrary.org/item/228766,"U.S. Department of Agriculture, National Agricultural Library",5
Language material,133382,Price list : 1924 [1925],https://www.biodiversitylibrary.org/item/229173,"U.S. Department of Agriculture, National Agricultural Library",10
Language material,133795,Season 1925 [& 6] headquarters for grape cuttings,https://www.biodiversitylibrary.org/item/229656,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,134622,Wholesale price list : summer and fall 1925,https://www.biodiversitylibrary.org/item/230643,"U.S. Department of Agriculture, National Agricultural Library",8
Language material,134846,1925 [crossed out] 1926 price list of Long Island cabbage seed and other special seed stocks,https://www.biodiversitylibrary.org/item/230999,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,136859,"Spring 1926 [crossed out] 1927 wholesale price list : plants, shrubbery, seeds",https://www.biodiversitylibrary.org/item/233234,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,138155,Ericas [price list],https://www.biodiversitylibrary.org/item/234678,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,138190,"Price-list of native ferns, wild flowers : 1924[-7]",https://www.biodiversitylibrary.org/item/234712,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,138659,The Lewis peonies : descriptive price list,https://www.biodiversitylibrary.org/item/235278,"U.S. Department of Agriculture, National Agricultural Library",8
Language material,139318,A medicinal botany,https://www.biodiversitylibrary.org/item/236159,"New York Botanical Garden, LuEsther T. Mertz Library",100
Language material,142490,[Nursery stock list : May 4/28],https://www.biodiversitylibrary.org/item/241306,"U.S. Department of Agriculture, National Agricultural Library",4
